NPS,O,W,d,n,C,T,Y1,Y2
3,240,190.5,1,8,7/8,145,140,145
4,290,235.0,1 1/4,8,l 1/8,170,165,170
5,350,279.4,1 3/8,8,1 1/4,190,185,190
6,380,317.5,1 1/4,,12,1 1/8,190,185,195
8,470,393.7,1 1/2,12,1 3/8,220,215,220
10,545,469.9,1 1/2,16,1 3/8,235,230,235
12,610,533.4,1 1/2,20,1 3/8,255,250,255
14,640,558.8,1 5/8,20,1 1/2,275,265,280
16,705,616.0,1 3/4,,20,1 5/8,285,280,290
18,785,,685.8,2,20,1 7/8,325,320,335,
20,855,749.3,2 1/8,20,2,350,345,,360
24,1,040,901.7,2 5/8,20,2 1/2,440,430,455
