NPS,O,tf,X,Ah,Y,B,r,D,B11,B13,C,F,G
4,255,35.0,146,114.3,51,51,89,37,116.1,116.8,Note (5),11,117.6
5,280,38.1,178,141.3,54,54,102,43,143.8,144.5,Note (5),11,144.4
6,320,41.3,206,168.3,57,57,103,46,170.7,171.4,Note (5),13,171.4
8,380,47.7,260,219.1,68,68,117,51,221.5,222.2,Note (5),13,222.2
10,445,54.0,321,273.0,73,102,124,56,276.2,277.4,Note (5),13,276.2
12,520,57.2,375,323.8,79,108,137,61,327.0,328.2,Note (5),13,328.6
14,585,60.4,425,355.6,84,117,149,64,359.2,360.2,Note (5),13,360.4
16,650,63.5,483,406.4,94,127,152,69,410.5,411.2,Note (5),13,411.2
18,710,66.7,533,457.0,98,137,165,70,461.8,462.3,Note (5),13,462.0
20,775,69.9,587,508.0,102,146,168,74,513.1,514.4,Note (5),13,512.8
22,840,73.1,640,22.0,108,152,171,…,564.4,565.2,Note (5),13,…
24,915,76.2,702,610.0,114,159,175,83,616.0,616.0,Note (5),13,614.4
